path,instrument,resolution_m,format,sun_angle,corner_coords,dims,role,notes,source
data/PATCH-001/data/OHRC/ch2_ohr_ncp_20210405T1606536730_d_img_d18/data/calibrated/20210405/ch2_ohr_ncp_20210405T1606536730_d_img_d18.img,OHRC,0.25,raw 8-bit .img (ISRO),"az=269.65, el=14.06","lon 336.485..336.589, lat -3.417..-2.576",12000x93693,phase1,equatorial pair; footprint+sun from geometry CSV&XML; paired with PATCH-001 NAC,verified_local
data/PATCH-004/OHRC/ch2_ohr_ncp_20260331T1105235288_d_img_d18.zip (-> data/calibrated/20260331/ch2_ohr_ncp_20260331T1105235288_d_img_d18.img),OHRC,0.25,raw 8-bit .img (ISRO) in zip,"az=89.38, el=1.90","lon 296.086..296.213, lat 7.324..8.162",12000x93692,phase5,extreme low-sun hard case (sun_el 1.9 deg); paired with PATCH-004/OHRC NAC M1127547939RC,verified_local
data/PATCH-001/data/IIRS/ch2_iir_nri_20211221T0324126144_d_img_hw1/data/raw/20211221/ch2_iir_nri_20211221T0324126144_d_img_hw1.qub,IIRS,69.04,PDS/ISRO .qub (256 bands),"az=335.80, el=82.74",not embedded (no geometry CSV in patch),250x5574x256,multimodal_stress_test,hyperspectral; ripple test for band selection,verified_local
data/PATCH-004/IIRS/ch2_iir_nri_20240503T0015461934_d_img_d18.zip (data/raw/20240503/*.qub),IIRS,84.71,PDS/ISRO .qub in zip,"az=251.83, el=35.82",not embedded,250x12620x256,multimodal_stress_test,hyperspectral; dims from ENVI .hdr in zip,verified_local
data/PATCH-004/TMC/ch2_tmc_nca_20260607T2319176707_d_img_d18.zip,TMC-2,5.47,ISRO product zip,"az=282.59, el=59.70",not embedded,in zip,multimodal_stress_test,nca view of 20260607T2319 observation; 3-view stereo set (NCA/NCF/NCN),verified_local
data/PATCH-004/TMC/ch2_tmc_ncf_20260607T2319176739_d_img_d18.zip,TMC-2,5.47,ISRO product zip,"az=282.59, el=59.70",not embedded,in zip,multimodal_stress_test,ncf view of 20260607T2319 observation; 3-view stereo set (NCA/NCF/NCN),verified_local
data/PATCH-004/TMC/ch2_tmc_ncn_20260607T2319176707_d_img_d18.zip,TMC-2,5.47,ISRO product zip,"az=282.59, el=59.70",not embedded,in zip,multimodal_stress_test,ncn view of 20260607T2319 observation; 3-view stereo set (NCA/NCF/NCN),verified_local
data/PATCH-001/data/LRO_NAC/LC/M1430572656LC.IMG,LRO NAC,~0.5-2 (nominal),PDS3 .IMG (EDR/CDR) unprojected,,unknown (no embedded georef; needs SPICE/ISIS),5064x46080,reference,paired LRO NAC for OHRC-2021 phase1 scene (PATCH-001 grouping; footprint candidate); REJECTED as phase1: feature co-registration vs OHRC-2021 no overlap (~5 inliers),candidate
data/PATCH-001/data/LRO_NAC/LC/M1436434040LC.IMG,LRO NAC,~0.5-2 (nominal),PDS3 .IMG (EDR/CDR) unprojected,,unknown (no embedded georef; needs SPICE/ISIS),5064x1024,reference,"paired LRO NAC for this CH2 scene (candidate footprint, PATCH grouping)",verified_local
data/PATCH-001/data/LRO_NAC/LC/M1448159319LC.IMG,LRO NAC,~0.5-2 (nominal),PDS3 .IMG (EDR/CDR) unprojected,,unknown (no embedded georef; needs SPICE/ISIS),5064x32768,reference,"paired LRO NAC for this CH2 scene (candidate footprint, PATCH grouping)",verified_local
data/PATCH-001/data/LRO_NAC/LC/M1452847759LC.IMG,LRO NAC,~0.5-2 (nominal),PDS3 .IMG (EDR/CDR) unprojected,,unknown (no embedded georef; needs SPICE/ISIS),2532x16384,reference,"paired LRO NAC for this CH2 scene (candidate footprint, PATCH grouping)",verified_local
data/PATCH-001/data/LRO_NAC/LC/M1469248775LC.IMG,LRO NAC,~0.5-2 (nominal),PDS3 .IMG (EDR/CDR) unprojected,,unknown (no embedded georef; needs SPICE/ISIS),5064x52224,phase1,"paired LRO NAC for this CH2 scene (candidate footprint, PATCH grouping); phase1 (user-approved swap): feature-verified overlap vs OHRC-2021 (249 SIFT inliers)",verified_local
data/PATCH-001/data/LRO_NAC/LC/M1471590933LC.IMG,LRO NAC,~0.5-2 (nominal),PDS3 .IMG (EDR/CDR) unprojected,,unknown (no embedded georef; needs SPICE/ISIS),5064x52224,reference,"paired LRO NAC for this CH2 scene (candidate footprint, PATCH grouping)",verified_local
data/PATCH-001/data/LRO_NAC/LC/M1486820871LC.IMG,LRO NAC,~0.5-2 (nominal),PDS3 .IMG (EDR/CDR) unprojected,,unknown (no embedded georef; needs SPICE/ISIS),5064x52224,reference,"paired LRO NAC for this CH2 scene (candidate footprint, PATCH grouping)",verified_local
data/PATCH-001/data/LRO_NAC/LE/M1417670274LE.IMG,LRO NAC,~0.5-2 (nominal),PDS3 .IMG (EDR/CDR) unprojected,,unknown (no embedded georef; needs SPICE/ISIS),5064x52224,reference,"paired LRO NAC for this CH2 scene (candidate footprint, PATCH grouping)",verified_local
data/PATCH-001/data/LRO_NAC/LE/M1430572656LE.IMG,LRO NAC,~0.5-2 (nominal),PDS3 .IMG (EDR/CDR) unprojected,,unknown (no embedded georef; needs SPICE/ISIS),5064x46080,reference,"paired LRO NAC for this CH2 scene (candidate footprint, PATCH grouping)",verified_local
data/PATCH-001/data/LRO_NAC/LE/M1436434040LE.IMG,LRO NAC,~0.5-2 (nominal),PDS3 .IMG (EDR/CDR) unprojected,,unknown (no embedded georef; needs SPICE/ISIS),5064x1024,reference,"paired LRO NAC for this CH2 scene (candidate footprint, PATCH grouping)",verified_local
data/PATCH-001/data/LRO_NAC/LE/M1448159319LE.IMG,LRO NAC,~0.5-2 (nominal),PDS3 .IMG (EDR/CDR) unprojected,,unknown (no embedded georef; needs SPICE/ISIS),5064x32768,reference,"paired LRO NAC for this CH2 scene (candidate footprint, PATCH grouping)",verified_local
data/PATCH-001/data/LRO_NAC/LE/M1452847759LE.IMG,LRO NAC,~0.5-2 (nominal),PDS3 .IMG (EDR/CDR) unprojected,,unknown (no embedded georef; needs SPICE/ISIS),2532x16384,reference,"paired LRO NAC for this CH2 scene (candidate footprint, PATCH grouping)",verified_local
data/PATCH-001/data/LRO_NAC/LE/M1469248775LE.IMG,LRO NAC,~0.5-2 (nominal),PDS3 .IMG (EDR/CDR) unprojected,,unknown (no embedded georef; needs SPICE/ISIS),5064x52224,reference,"paired LRO NAC for this CH2 scene (candidate footprint, PATCH grouping)",verified_local
data/PATCH-001/data/LRO_NAC/LE/M1471590933LE.IMG,LRO NAC,~0.5-2 (nominal),PDS3 .IMG (EDR/CDR) unprojected,,unknown (no embedded georef; needs SPICE/ISIS),5064x52224,reference,"paired LRO NAC for this CH2 scene (candidate footprint, PATCH grouping)",verified_local
data/PATCH-001/data/LRO_NAC/LE/M1486820871LE.IMG,LRO NAC,~0.5-2 (nominal),PDS3 .IMG (EDR/CDR) unprojected,,unknown (no embedded georef; needs SPICE/ISIS),5064x52224,reference,"paired LRO NAC for this CH2 scene (candidate footprint, PATCH grouping)",verified_local
data/LRO NAC 2/LRO_NAC/OTHER/M1383905328LE.IMG,LRO NAC,~0.5-2 (nominal),PDS3 .IMG (EDR/CDR) unprojected,,unknown (no embedded georef; needs SPICE/ISIS),5064x1024,reference,"paired LRO NAC for this CH2 scene (candidate footprint, PATCH grouping)",verified_local
data/LRO NAC 2/LRO_NAC/OTHER/M1394475435LC.IMG,LRO NAC,~0.5-2 (nominal),PDS3 .IMG (EDR/CDR) unprojected,,unknown (no embedded georef; needs SPICE/ISIS),5064x52224,reference,"paired LRO NAC for this CH2 scene (candidate footprint, PATCH grouping)",verified_local
data/LRO NAC 2/LRO_NAC/OTHER/M1394475435LE.IMG,LRO NAC,~0.5-2 (nominal),PDS3 .IMG (EDR/CDR) unprojected,,unknown (no embedded georef; needs SPICE/ISIS),5064x52224,reference,"paired LRO NAC for this CH2 scene (candidate footprint, PATCH grouping)",verified_local
data/LRO NAC 2/LRO_NAC/OTHER/M1420286205LC.IMG,LRO NAC,~0.5-2 (nominal),PDS3 .IMG (EDR/CDR) unprojected,,unknown (no embedded georef; needs SPICE/ISIS),5064x52224,reference,"paired LRO NAC for this CH2 scene (candidate footprint, PATCH grouping)",verified_local
data/LRO NAC 2/LRO_NAC/OTHER/M1420286205LE.IMG,LRO NAC,~0.5-2 (nominal),PDS3 .IMG (EDR/CDR) unprojected,,unknown (no embedded georef; needs SPICE/ISIS),5064x52224,reference,"paired LRO NAC for this CH2 scene (candidate footprint, PATCH grouping)",verified_local
data/LRO NAC 2/LRO_NAC/OTHER/M1430832127LC.IMG,LRO NAC,~0.5-2 (nominal),PDS3 .IMG (EDR/CDR) unprojected,,unknown (no embedded georef; needs SPICE/ISIS),5064x52224,reference,"paired LRO NAC for this CH2 scene (candidate footprint, PATCH grouping)",verified_local
data/LRO NAC 2/LRO_NAC/OTHER/M1430832127LE.IMG,LRO NAC,~0.5-2 (nominal),PDS3 .IMG (EDR/CDR) unprojected,,unknown (no embedded georef; needs SPICE/ISIS),5064x52224,reference,"paired LRO NAC for this CH2 scene (candidate footprint, PATCH grouping)",verified_local
data/LRO NAC 2/LRO_NAC/OTHER/M1453114602LC.IMG,LRO NAC,~0.5-2 (nominal),PDS3 .IMG (EDR/CDR) unprojected,,unknown (no embedded georef; needs SPICE/ISIS),5064x52224,reference,"paired LRO NAC for this CH2 scene (candidate footprint, PATCH grouping)",verified_local
data/LRO NAC 2/LRO_NAC/OTHER/M1453114602LE.IMG,LRO NAC,~0.5-2 (nominal),PDS3 .IMG (EDR/CDR) unprojected,,unknown (no embedded georef; needs SPICE/ISIS),5064x52224,reference,"paired LRO NAC for this CH2 scene (candidate footprint, PATCH grouping)",verified_local
